id,codep,codmun,codind,nomind,manmue,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam,sincasos,sinpoblacion,sintasa,rural,urbano,sinfor,despazado,otro,discapacitado,nodiscapacitado,sinfodiscapacitado,amarillo,blanco,indigena,mestizo,mulato,negro,sinfraza,total
1,91,91405,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,1,417,239.8081534772182,1,251,398.40637450199205,0,166,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
2,91,91405,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,1,417,239.8081534772182,1,251,398.40637450199205,0,166,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
3,91,91407,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,2,1,499,200.4008016032064,0,244,0,1,255,392.156862745098,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
4,91,91407,75,"Tasa de muertes por otros accidentes en niños, niñas y adolescentes",VIOLENTA - ACCIDENTAL,2020,2,1,499,200.4008016032064,0,244,0,1,255,392.156862745098,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5,91,91001,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,4,1,6281,15.92103168285305,1,3237,30.892801977139328,0,3044,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
6,91,91001,74,"Tasa de suicidios en niños, niñas y adolescentes",VIOLENTA - SUICIDIO,2020,4,1,6281,15.92103168285305,1,3237,30.892801977139328,0,3044,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
7,91,91001,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,5,9593,52.12133847597206,5,5140,97.27626459143968,0,4453,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,5,0,0,0,5
8,91,91001,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,2,9593,20.848535390388825,2,5140,38.91050583657588,0,4453,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,2
9,91,91001,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2020,5,2,9593,20.848535390388825,2,5140,38.91050583657588,0,4453,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,2
10,91,91001,114,Tasa de accidentes de transporte (18 - 28 años),VIOLENTA - TRANSPORTE,2020,5,1,9593,10.424267695194413,1,5140,19.45525291828794,0,4453,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
11,91,91536,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,1,157,636.9426751592357,1,83,1204.8192771084339,0,74,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
12,91,91536,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2020,5,1,157,636.9426751592357,1,83,1204.8192771084339,0,74,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
13,91,91798,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,1,696,143.67816091954023,1,368,271.7391304347826,0,328,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
14,91,91798,114,Tasa de accidentes de transporte (18 - 28 años),VIOLENTA - TRANSPORTE,2020,5,1,696,143.67816091954023,1,368,271.7391304347826,0,328,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
15,05,5002,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,4,3044,131.4060446780552,4,1660,240.96385542168676,0,1384,0,0,0,0,3,1,0,0,4,0,4,0,0,0,0,3,0,0,1,4
16,05,5002,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,2,3044,65.7030223390276,2,1660,120.48192771084338,0,1384,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,0,0,1,2
17,05,5002,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2020,5,1,3044,32.8515111695138,1,1660,60.24096385542169,0,1384,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
18,05,5002,114,Tasa de accidentes de transporte (18 - 28 años),VIOLENTA - TRANSPORTE,2020,5,1,3044,32.8515111695138,1,1660,60.24096385542169,0,1384,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
19,05,5030,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,4,1,2763,36.19254433586681,1,1406,71.12375533428165,0,1357,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
20,05,5030,73,"Tasa de Homicidios en niños, niñas y adolescentes",VIOLENTA - HOMICIDIO,2020,4,1,2763,36.19254433586681,1,1406,71.12375533428165,0,1357,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
21,05,5030,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,10,5682,175.99436818021823,9,2906,309.7040605643496,1,2776,36.023054755043226,0,0,0,8,1,1,0,10,0,10,0,0,0,0,8,0,0,2,10
22,05,5030,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,9,5682,158.39493136219642,9,2906,309.7040605643496,0,2776,0,0,0,0,8,1,0,0,9,0,9,0,0,0,0,7,0,0,2,9
23,05,5030,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2020,5,1,5682,17.59943681802182,0,2906,0,1,2776,36.023054755043226,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
24,05,5031,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,2,1,2200,45.45454545454545,0,1133,0,1,1067,93.72071227741331,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
25,05,5031,75,"Tasa de muertes por otros accidentes en niños, niñas y adolescentes",VIOLENTA - ACCIDENTAL,2020,2,1,2200,45.45454545454545,0,1133,0,1,1067,93.72071227741331,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
26,05,5031,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,5,4973,100.54293183189222,3,2525,118.8118811881188,2,2448,81.69934640522877,0,0,0,5,0,0,0,5,0,5,0,0,0,0,1,0,0,4,5
27,05,5031,113,Tasa de otros accidentes (18 - 28 años),VIOLENTA - ACCIDENTAL,2020,5,3,4973,60.32575909913533,1,2525,39.603960396039604,2,2448,81.69934640522877,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3
28,05,5031,114,Tasa de accidentes de transporte (18 - 28 años),VIOLENTA - TRANSPORTE,2020,5,2,4973,40.217172732756886,2,2525,79.20792079207921,0,2448,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,0,0,1,2
29,05,5034,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,4,4,4069,98.30425165888424,3,2126,141.11006585136408,1,1943,51.4668039114771,0,0,0,2,1,1,0,4,0,4,0,0,0,0,4,0,0,0,4
30,05,5034,73,"Tasa de Homicidios en niños, niñas y adolescentes",VIOLENTA - HOMICIDIO,2020,4,4,4069,98.30425165888424,3,2126,141.11006585136408,1,1943,51.4668039114771,0,0,0,2,1,1,0,4,0,4,0,0,0,0,4,0,0,0,4
31,05,5034,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,19,7917,239.98989516230895,19,4355,436.2801377726751,0,3562,0,0,0,0,13,6,0,0,19,0,19,0,0,0,0,17,0,1,1,19
32,05,5034,113,Tasa de otros accidentes (18 - 28 años),VIOLENTA - ACCIDENTAL,2020,5,2,7917,25.262094227611467,2,4355,45.924225028702644,0,3562,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,2,0,0,0,2
33,05,5034,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,17,7917,214.72780093469748,17,4355,390.35591274397245,0,3562,0,0,0,0,12,5,0,0,17,0,17,0,0,0,0,15,0,1,1,17
34,05,5038,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,6,2065,290.55690072639226,5,1071,466.8534080298786,1,994,100.6036217303823,0,0,0,5,1,0,0,6,0,6,0,0,1,0,4,0,0,1,6
35,05,5038,113,Tasa de otros accidentes (18 - 28 años),VIOLENTA - ACCIDENTAL,2020,5,1,2065,48.426150121065376,0,1071,0,1,994,100.6036217303823,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
36,05,5038,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,4,2065,193.7046004842615,4,1071,373.48272642390293,0,994,0,0,0,0,4,0,0,0,4,0,4,0,0,1,0,2,0,0,1,4
37,05,5038,112,Tasa de suicidios (18 - 28 años),VIOLENTA - SUICIDIO,2020,5,1,2065,48.426150121065376,1,1071,93.37068160597573,0,994,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
38,05,5040,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2020,4,2,2227,89.80691513246519,1,1181,84.6740050804403,1,1046,95.60229445506693,0,0,0,1,1,0,0,2,0,2,0,0,0,0,1,0,1,0,2
39,05,5040,73,"Tasa de Homicidios en niños, niñas y adolescentes",VIOLENTA - HOMICIDIO,2020,4,1,2227,44.903457566232596,1,1181,84.6740050804403,0,1046,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
40,05,5040,76,"Tasa de muertes por accidentes de transporte en niños, niñas y adolescentes",VIOLENTA - TRANSPORTE,2020,4,1,2227,44.903457566232596,0,1181,0,1,1046,95.60229445506693,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
41,05,5040,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2020,5,14,3747,373.63223912463303,14,1974,709.2198581560284,0,1773,0,0,0,0,11,2,1,0,14,0,14,0,0,2,0,10,0,0,2,14
42,05,5040,113,Tasa de otros accidentes (18 - 28 años),VIOLENTA - ACCIDENTAL,2020,5,3,3747,80.06405124099278,3,1974,151.9756838905775,0,1773,0,0,0,0,2,0,1,0,3,0,3,0,0,1,0,2,0,0,0,3
43,05,5040,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2020,5,8,3747,213.50413664264744,8,1974,405.2684903748734,0,1773,0,0,0,0,7,1,0,0,8,0,8,0,0,1,0,6,0,0,1,8
