id,codep,codmun,codind,nomind,manmue,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam,sincasos,sinpoblacion,sintasa,rural,urbano,sinfor,despazado,otro,discapacitado,nodiscapacitado,sinfodiscapacitado,amarillo,blanco,indigena,mestizo,mulato,negro,sinfraza,total
1,91,91001,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2023,2,1,5709,17.516202487300756,0,2925,0,1,2784,35.91954022988506,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2,91,91001,75,"Tasa de muertes por otros accidentes en niños, niñas y adolescentes",VIOLENTA - ACCIDENTAL,2023,2,1,5709,17.516202487300756,0,2925,0,1,2784,35.91954022988506,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
3,91,91001,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2023,3,1,6944,14.400921658986174,0,3521,0,1,3423,29.214139643587494,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
4,91,91001,76,"Tasa de muertes por accidentes de transporte en niños, niñas y adolescentes",VIOLENTA - TRANSPORTE,2023,3,1,6944,14.400921658986174,0,3521,0,1,3423,29.214139643587494,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
5,91,91001,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2023,4,2,6822,29.31691586045148,1,3463,28.876696505919725,1,3359,29.770765108663294,0,0,0,0,1,1,0,2,0,2,0,0,0,1,1,0,0,0,2
6,91,91001,73,"Tasa de Homicidios en niños, niñas y adolescentes",VIOLENTA - HOMICIDIO,2023,4,1,6822,14.65845793022574,1,3463,28.876696505919725,0,3359,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
7,91,91001,74,"Tasa de suicidios en niños, niñas y adolescentes",VIOLENTA - SUICIDIO,2023,4,1,6822,14.65845793022574,0,3463,0,1,3359,29.770765108663294,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
8,91,91001,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2023,5,7,10960,63.86861313868613,6,5741,104.51140916216688,1,5219,19.160758766047135,0,0,0,0,5,2,0,7,0,7,0,0,1,3,3,0,0,0,7
9,91,91001,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2023,5,7,10960,63.86861313868613,6,5741,104.51140916216688,1,5219,19.160758766047135,0,0,0,0,5,2,0,7,0,7,0,0,1,3,3,0,0,0,7
10,05,5002,72,"Tasa de muertes por causas externas en niños, niñas y adolescentes",MUERTES POR CAUSAS EXTERNAS,2023,4,1,1888,52.96610169491525,1,1021,97.94319294809011,0,867,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
11,05,5002,75,"Tasa de muertes por otros accidentes en niños, niñas y adolescentes",VIOLENTA - ACCIDENTAL,2023,4,1,1888,52.96610169491525,1,1021,97.94319294809011,0,867,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
12,05,5002,110,Tasa de muertes por causa externa (18 - 28 años),MUERTES POR CAUSAS EXTERNAS,2023,5,3,3015,99.50248756218905,1,1650,60.60606060606061,2,1365,146.5201465201465,0,0,0,2,1,0,0,3,0,3,0,0,1,0,2,0,0,0,3
13,05,5002,111,Tasa de Homicidios (18 - 28 años),VIOLENTA - HOMICIDIO,2023,5,1,3015,33.16749585406302,0,1650,0,1,1365,73.26007326007326,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
